kinase_id	betweenness	pagerank	degree	depmap_score	cox_hr	logrank_p	dgidb_score	chembl_count	trial_stage	centrality_missing	centrality_norm	essentiality_missing	essentiality_norm	survival_missing	survival_norm	druggability_missing	druggability_norm	CTS
EGFR	0.0462206332992849	0.0338102653584927	20.908	-0.1317837815861618	0.9996927671679612	0.7411604270469352	291.0	291.0	0	False	0.8430955146592879	False	0.36020559541725217	False	0.41517711767476306	False	0.8333333333333334	0.6134409993374568
ERBB2	0.0457099080694586	0.0433547340039466	27.558	-0.2767717279001422	1.0001188134447208	0.4020268722376076	193.0	193.0	0	False	0.9963167587476983	False	0.5459115947917563	False	0.5327176792043344	False	0.6088201603665521	0.6903163781966426
ERBB3	0.0048518896833503	0.0160529044708536	10.433	-0.1919237244747296	0.998599070550046	0.6565499636756869	58.0	58.0	0	False	0.27578264016822585	False	0.43723508980198766	False	0.40340938764380113	False	0.2995418098510882	0.3528042733821326
ERBB4	0.0007660878447395	0.0096288704681009	5.921	-0.0476979173961784	0.9963450759733066	0.604284355298529	59.0	59.0	0	False	0.14027303366342622	False	0.25250526694405695	False	0.3953563187214166	False	0.3018327605956472	0.2644138586345257
MET	0.0109167517875383	0.0158844266901303	10.067	0.0161879074073314	1.000773997849708	0.8375972084473753	133.0	133.0	0	False	0.31374429844216967	False	0.1706779065143278	False	0.46146003990588313	False	0.47136311569301254	0.34643039927630614
MST1R	0.0	0.0051268130058761	2.509	-0.0184775622328762	0.9887286645915916	0.0210333269324851	30.0	30.0	0	False	0.05740819754900408	False	0.21507874014901018	False	0.06937178763541277	False	0.2353951890034364	0.13541412901149424
ALK	0.0005107252298263	0.0073544501456564	3.609	-0.1207200728637638	1.011145397643497	0.2290355043104715	134.0	134.0	0	False	0.09224402298684864	False	0.3460347823440607	False	0.5873382908011373	False	0.4736540664375715	0.3557472884698684
LTK	0.0002553626149131	0.0039443192710847	1.418	-0.022378410707071	0.8154730644559719	0.1609742234100095	29.0	29.0	0	False	0.036579542222659925	False	0.22007509317507545	False	0.26694039540672293	False	0.2331042382588774	0.17934858246402308
STYK1	0.0	0.0026158273842352	0.648	0.0530823281366759	1.02952541955578	0.4690598459304094	0.0	0.0	0	False	0.014780662341833709	False	0.12342214872844304	False	0.5177470155221324	True	0.0	0.164726489765194
KIT	0.0074055158324821	0.0096145844318866	5.532	-0.0516947394908664	1.0025508840479718	0.5800708224745053	134.0	134.0	0	False	0.18333548576756667	False	0.25762454658271583	False	0.4971255481601317	False	0.4736540664375715	0.3384189827034962
